"product_variant_id","scrape_product_variant_id","product_variant_key","price","price_currency","stock_count","stock_units","weight_per_unit_kg","length_cm","width_cm","height_cm","images","is_validated","is_catalogued","created_by","updated_by","createdAt","updatedAt","deletedAt","product_id","product_variant_key_translated"
42,7093,Pink,9.5,CNY,0,Units,0.22,48.0,48.0,27.0,"{https://img.alicdn.com/imgextra/i2/6000000006307/O1CN015nbckO1wSeg53Potr_!!6000000006307-0-tbvideo.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01xlOEum1WPHvtGQHPO_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010rjsZQ1WPHtEIVI2L_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N76cOS1WPHtDwkM1s_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN016SkFm91WPHtDwiXpB_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ozxc6X1WPHkTh6stX_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01WYk3KS1WPHtDwyS7n_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01v9s1Qy1WPHt9mGQUW_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01efKWDp1WPHtGuSf1A_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01p6rqiN1WPHtJKe8ub_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01l05gQg1WPHtFmTcxv_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01495kK61WPHtLrXJtY_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01wdxGKR1WPHtFOWwbi_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011ADquJ1WPHtL1qzaz_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01XNjAXs1WPHt9oqPIo_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ImR7ro1WPHtDzTjq8_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01K6Zf1i1WPHtLrfuku_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Oa9i8U1WPHtGxAUej_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN018fgTFq1WPHtJKtVyg_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010I8BlD1WPHtJsz72L_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN012KAmgH1WPHtBsN20m_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Xcc95L1WPHtIGn5eB_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN0145cLKO1WPHtDx3YMm_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01t6DHX41WPHtLrqBWy_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01V8AgRr1WPHtLrrSYe_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01iabHN11WPHwHgOCXM_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01MQui101WPHwJuSr0j_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01dHs8XK1WPHwKuh8nZ_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN0167L2VK1WPHwMNtPJ4_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01B03nv91WPHwExSxTp_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01vVCime1WPHwKatFaX_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01bay4M31WPHwO5p6iE_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01E0MJYn1WPHx3u82Bl_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01PwYuX11WPHx8SwYgM_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Dkwiqp1WPHxyjFqWo_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01twWYhp1WPHy2j1YgO_!!2206423932780-0-cib.jpg}",true,false,,,2024-04-24 16:41:45.253 +0800,2024-04-24 16:43:01.073 +0800,,18,
43,7099,Rose Gold,9.5,CNY,0,Units,0.22,48.0,48.0,27.0,"{https://img.alicdn.com/imgextra/i2/6000000006307/O1CN015nbckO1wSeg53Potr_!!6000000006307-0-tbvideo.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01xlOEum1WPHvtGQHPO_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010rjsZQ1WPHtEIVI2L_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N76cOS1WPHtDwkM1s_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN016SkFm91WPHtDwiXpB_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ozxc6X1WPHkTh6stX_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01WYk3KS1WPHtDwyS7n_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01v9s1Qy1WPHt9mGQUW_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01efKWDp1WPHtGuSf1A_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01p6rqiN1WPHtJKe8ub_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01l05gQg1WPHtFmTcxv_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01495kK61WPHtLrXJtY_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01wdxGKR1WPHtFOWwbi_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011ADquJ1WPHtL1qzaz_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01XNjAXs1WPHt9oqPIo_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ImR7ro1WPHtDzTjq8_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01K6Zf1i1WPHtLrfuku_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Oa9i8U1WPHtGxAUej_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN018fgTFq1WPHtJKtVyg_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010I8BlD1WPHtJsz72L_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN012KAmgH1WPHtBsN20m_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Xcc95L1WPHtIGn5eB_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN0145cLKO1WPHtDx3YMm_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01t6DHX41WPHtLrqBWy_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01V8AgRr1WPHtLrrSYe_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01iabHN11WPHwHgOCXM_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01MQui101WPHwJuSr0j_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01dHs8XK1WPHwKuh8nZ_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN0167L2VK1WPHwMNtPJ4_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01B03nv91WPHwExSxTp_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01vVCime1WPHwKatFaX_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01bay4M31WPHwO5p6iE_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01E0MJYn1WPHx3u82Bl_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01PwYuX11WPHx8SwYgM_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Dkwiqp1WPHxyjFqWo_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01twWYhp1WPHy2j1YgO_!!2206423932780-0-cib.jpg}",true,false,,,2024-04-24 16:41:45.303 +0800,2024-04-24 16:46:28.379 +0800,,18,
45,7101,White,9.5,CNY,0,Units,0.22,48.0,48.0,27.0,"{https://img.alicdn.com/imgextra/i2/6000000006307/O1CN015nbckO1wSeg53Potr_!!6000000006307-0-tbvideo.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01xlOEum1WPHvtGQHPO_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010rjsZQ1WPHtEIVI2L_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N76cOS1WPHtDwkM1s_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN016SkFm91WPHtDwiXpB_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ozxc6X1WPHkTh6stX_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01WYk3KS1WPHtDwyS7n_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01v9s1Qy1WPHt9mGQUW_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01efKWDp1WPHtGuSf1A_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01p6rqiN1WPHtJKe8ub_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01l05gQg1WPHtFmTcxv_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01495kK61WPHtLrXJtY_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01wdxGKR1WPHtFOWwbi_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011ADquJ1WPHtL1qzaz_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01XNjAXs1WPHt9oqPIo_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ImR7ro1WPHtDzTjq8_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01K6Zf1i1WPHtLrfuku_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Oa9i8U1WPHtGxAUej_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN018fgTFq1WPHtJKtVyg_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010I8BlD1WPHtJsz72L_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN012KAmgH1WPHtBsN20m_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Xcc95L1WPHtIGn5eB_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN0145cLKO1WPHtDx3YMm_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01t6DHX41WPHtLrqBWy_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01V8AgRr1WPHtLrrSYe_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01iabHN11WPHwHgOCXM_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01MQui101WPHwJuSr0j_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01dHs8XK1WPHwKuh8nZ_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN0167L2VK1WPHwMNtPJ4_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01B03nv91WPHwExSxTp_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01vVCime1WPHwKatFaX_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01bay4M31WPHwO5p6iE_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01E0MJYn1WPHx3u82Bl_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01PwYuX11WPHx8SwYgM_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Dkwiqp1WPHxyjFqWo_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01twWYhp1WPHy2j1YgO_!!2206423932780-0-cib.jpg}",true,false,,,2024-04-24 16:41:45.353 +0800,2024-04-24 16:46:59.279 +0800,,18,
46,7095,Blue,9.5,CNY,0,Units,0.22,48.0,48.0,27.0,"{https://img.alicdn.com/imgextra/i2/6000000006307/O1CN015nbckO1wSeg53Potr_!!6000000006307-0-tbvideo.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01xlOEum1WPHvtGQHPO_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010rjsZQ1WPHtEIVI2L_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01N76cOS1WPHtDwkM1s_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN016SkFm91WPHtDwiXpB_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ozxc6X1WPHkTh6stX_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01WYk3KS1WPHtDwyS7n_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01v9s1Qy1WPHt9mGQUW_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01efKWDp1WPHtGuSf1A_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01p6rqiN1WPHtJKe8ub_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01l05gQg1WPHtFmTcxv_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01495kK61WPHtLrXJtY_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01wdxGKR1WPHtFOWwbi_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011ADquJ1WPHtL1qzaz_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01XNjAXs1WPHt9oqPIo_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ImR7ro1WPHtDzTjq8_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01K6Zf1i1WPHtLrfuku_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Oa9i8U1WPHtGxAUej_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN018fgTFq1WPHtJKtVyg_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010I8BlD1WPHtJsz72L_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN012KAmgH1WPHtBsN20m_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Xcc95L1WPHtIGn5eB_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN0145cLKO1WPHtDx3YMm_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01t6DHX41WPHtLrqBWy_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01V8AgRr1WPHtLrrSYe_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01iabHN11WPHwHgOCXM_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01MQui101WPHwJuSr0j_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01dHs8XK1WPHwKuh8nZ_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN0167L2VK1WPHwMNtPJ4_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01B03nv91WPHwExSxTp_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01vVCime1WPHwKatFaX_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01bay4M31WPHwO5p6iE_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01E0MJYn1WPHx3u82Bl_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01PwYuX11WPHx8SwYgM_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Dkwiqp1WPHxyjFqWo_!!2206423932780-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01twWYhp1WPHy2j1YgO_!!2206423932780-0-cib.jpg}",true,false,,,2024-04-24 16:41:45.357 +0800,2024-04-24 16:48:11.422 +0800,,18,
47,7115,"9*9*12cm ",2.5,CNY,0,units,0.05,24.0,18.0,0.2,"{https://img.alicdn.com/imgextra/i4/6000000005436/O1CN012MUdgE1q1jn3vULzg_!!6000000005436-0-tbvideo.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01aJG2oa2HHIxRThvhZ_!!3159429125-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01fURkqX2HHIsOTdJjl_!!3159429125-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01QEVG2r2HHIsBXqE0K_!!3159429125-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01UQqwgk2HHIsLgyC3V_!!3159429125-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Vayl0b2HHJ2DNz8zU_!!3159429125-0-cib.jpg}",true,false,,,2024-04-24 16:49:44.372 +0800,2024-04-24 16:51:01.684 +0800,,19,
48,7117,Jasmine Mood,3.0,CNY,0,Units,0.16,19.0,5.0,5.0,"{https://cbu01.alicdn.com/img/ibank/O1CN01VX8u5A29fZ1fEspFo_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01KrF0QZ29fZ1kJG6pr_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ELWyst29fZ1Ynukhu_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01lvodRv29fZ1ee6XFk_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01BMX1XT29fZ1n23R71_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ha3yzA29fZ1ee4vHM_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011FxtVt29fZ1ee4vHF_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010zz1qu29fZ1hFIIlt_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01LybA8y29fZ1jdVGwB_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01989lyk29fZ1dSsARC_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01QxQWbM29fZ1iWE8s0_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01FarThV29fZ1dSsq1U_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01SjV78a29fZ1iRJHf0_!!2210452168095-0-cib.jpg}",true,false,,,2024-04-24 17:02:59.051 +0800,2024-04-24 17:07:43.507 +0800,,20,
49,7119,Shangri-la,3.0,CNY,0,Units,0.16,19.0,5.0,5.0,"{https://cbu01.alicdn.com/img/ibank/O1CN01VX8u5A29fZ1fEspFo_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01KrF0QZ29fZ1kJG6pr_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ELWyst29fZ1Ynukhu_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01lvodRv29fZ1ee6XFk_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01BMX1XT29fZ1n23R71_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ha3yzA29fZ1ee4vHM_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011FxtVt29fZ1ee4vHF_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010zz1qu29fZ1hFIIlt_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01LybA8y29fZ1jdVGwB_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01989lyk29fZ1dSsARC_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01QxQWbM29fZ1iWE8s0_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01FarThV29fZ1dSsq1U_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01SjV78a29fZ1iRJHf0_!!2210452168095-0-cib.jpg}",true,false,,,2024-04-24 17:02:59.052 +0800,2024-04-24 17:08:12.314 +0800,,20,
50,7121,Spring Cherry Blossoms,3.0,CNY,0,Units,0.16,19.0,5.0,5.0,"{https://cbu01.alicdn.com/img/ibank/O1CN01VX8u5A29fZ1fEspFo_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01KrF0QZ29fZ1kJG6pr_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ELWyst29fZ1Ynukhu_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01lvodRv29fZ1ee6XFk_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01BMX1XT29fZ1n23R71_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ha3yzA29fZ1ee4vHM_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011FxtVt29fZ1ee4vHF_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010zz1qu29fZ1hFIIlt_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01LybA8y29fZ1jdVGwB_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01989lyk29fZ1dSsARC_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01QxQWbM29fZ1iWE8s0_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01FarThV29fZ1dSsq1U_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01SjV78a29fZ1iRJHf0_!!2210452168095-0-cib.jpg}",true,false,,,2024-04-24 17:06:54.030 +0800,2024-04-24 17:08:49.931 +0800,,20,
51,7120,Misty Forest,3.0,CNY,0,Units,0.16,19.0,5.0,5.0,"{https://cbu01.alicdn.com/img/ibank/O1CN01VX8u5A29fZ1fEspFo_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01KrF0QZ29fZ1kJG6pr_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ELWyst29fZ1Ynukhu_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01lvodRv29fZ1ee6XFk_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01BMX1XT29fZ1n23R71_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ha3yzA29fZ1ee4vHM_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011FxtVt29fZ1ee4vHF_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010zz1qu29fZ1hFIIlt_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01LybA8y29fZ1jdVGwB_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01989lyk29fZ1dSsARC_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01QxQWbM29fZ1iWE8s0_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01FarThV29fZ1dSsq1U_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01SjV78a29fZ1iRJHf0_!!2210452168095-0-cib.jpg}",true,false,,,2024-04-24 17:06:54.031 +0800,2024-04-24 17:09:12.273 +0800,,20,
52,7122,Capri Orange,3.0,CNY,0,Units,0.16,19.0,5.0,5.0,"{https://cbu01.alicdn.com/img/ibank/O1CN01VX8u5A29fZ1fEspFo_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01KrF0QZ29fZ1kJG6pr_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01ELWyst29fZ1Ynukhu_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01lvodRv29fZ1ee6XFk_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01BMX1XT29fZ1n23R71_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Ha3yzA29fZ1ee4vHM_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN011FxtVt29fZ1ee4vHF_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN010zz1qu29fZ1hFIIlt_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01LybA8y29fZ1jdVGwB_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01989lyk29fZ1dSsARC_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01QxQWbM29fZ1iWE8s0_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01FarThV29fZ1dSsq1U_!!2210452168095-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01SjV78a29fZ1iRJHf0_!!2210452168095-0-cib.jpg}",true,false,,,2024-04-24 17:06:54.121 +0800,2024-04-24 17:09:47.297 +0800,,20,
